2.459000000003264e-06,
1.1249999999976557e-06,
7.500000000007501e-07,
1.5840000000058585e-06,
1.5410000000007362e-06,
1.8330000000066349e-06,
2.04200000000071e-06,
2.2499999999953113e-06,
2.6249999999991558e-06,
2.9580000000042905e-06,
3.165999999998892e-06,
3.4999999999965614e-06,
3.7910000000029864e-06,
4.416999999999616e-06,
4.458000000005791e-06,
5.041999999996771e-06,
5.290999999997548e-06,
5.625000000002156e-06,
5.916000000001642e-06,
6.416000000002142e-06,
6.874999999996467e-06,
7.0829999999980076e-06,
7.374999999996967e-06,
7.750000000000812e-06,
8.000000000001062e-06,
8.416000000004142e-06,
8.707999999996163e-06,
9.000000000002062e-06,
9.292000000001022e-06,
9.666000000005393e-06,
9.916999999998177e-06,
1.0292000000002022e-05,
1.0458000000004852e-05,
1.1666999999999927e-05,
1.1083000000002008e-05,
1.1333999999994793e-05,
1.1499999999997623e-05,
1.1750000000004812e-05,
1.2125000000001718e-05,
1.2415999999994265e-05,
1.2791999999997583e-05,
1.3209000000000137e-05,
1.3625000000003218e-05,
1.3874999999996529e-05,
1.4084000000004482e-05,
1.4459000000001387e-05,
1.4874999999997529e-05,
1.537499999999803e-05,
1.5625000000005218e-05,
1.5915999999997765e-05,
******,
2.909999999994861e-07,
2.5000000000025e-07,
2.0900000000101393e-07,
6.670000000028042e-07,
6.670000000028042e-07,
9.999999999940612e-07,
1.541999999993271e-06,
2.4580000000037905e-06,
4.0409999999962976e-06,
6.458000000000852e-06,
1.0457999999997913e-05,
1.6875000000006468e-05,
2.733300000000438e-05,
4.341600000000445e-05,
6.595799999999791e-05,
0.00010737499999999983,
0.0001756249999999987,
0.0002881669999999989,
0.0004713749999999961,
0.0007641249999999974,
0.0011797500000000002,
0.001856416999999999,
0.0029164999999999955,
0.004687834000000002,
0.007365541000000003,
0.011601749999999994,
0.018465999999999996,
0.03013425,
0.048396417,
0.07889137500000001,
0.12844758299999998,
0.20766949999999995,
0.33874466599999997,
0.552619084,
0.8870822089999999,
1.443576417,
2.353703125,
3.7779729160000004,
6.053592167,
10.172470958999998,
16.063507792000003,
25.923878416999997,
42.31531795800001,
69.115207625,
112.95977862499998,
185.211237917,
300.96898391599996,
487.208245875,
904.3401838330001,
1539.261181375,
Code executed in 1539.261181375 seconds
